"id","name","from_day","to_day","priority","is_stopped"
"0","不明","0","0","999","FALSE"
"1","1日","1","1","1","FALSE"
"2","2日","2","2","2","FALSE"
"3","3日","3","3","3","FALSE"
"4","4日","4","4","4","FALSE"
"5","5日","5","5","5","FALSE"
"6","6日","6","6","6","FALSE"
"7","7日","7","7","7","FALSE"
"8","8日","8","8","8","FALSE"
"9","9日","9","9","9","FALSE"
"10","10日","10","10","10","FALSE"
"11","11日","11","11","11","FALSE"
"12","12日","12","12","12","FALSE"
"13","13日","13","13","13","FALSE"
"14","14日","14","14","14","FALSE"
"15","15日","15","15","15","FALSE"
"16","16日","16","16","16","FALSE"
"17","17日","17","17","17","FALSE"
"18","18日","18","18","18","FALSE"
"19","19日","19","19","19","FALSE"
"20","20日","20","20","20","FALSE"
"21","21日","21","21","21","FALSE"
"22","22日","22","22","22","FALSE"
"23","23日","23","23","23","FALSE"
"24","24日","24","24","24","FALSE"
"25","25日","25","25","25","FALSE"
"26","26日","26","26","26","FALSE"
"27","27日","27","27","27","FALSE"
"28","28日","28","28","28","FALSE"
"29","29日","29","29","29","FALSE"
"30","30日","30","30","30","FALSE"
"31","31日","31","31","31","FALSE"
"32","末日","31","31","32","FALSE"
"101","初旬","1","5","101","FALSE"
"102","上旬","1","10","102","FALSE"
"103","中旬","11","20","103","FALSE"
"104","下旬","21","31","104","FALSE"
