"id","name","priority","is_building","is_room","is_stopped"
"0","不明","0","FALSE","FALSE","FALSE"
"1010","建物外観","1010","TRUE","FALSE","FALSE"
"1020","エントランス","1020","TRUE","FALSE","FALSE"
"1030","駐車場","1030","TRUE","FALSE","FALSE"
"1040","駐輪場","1040","TRUE","FALSE","FALSE"
"1050","屋外スペース","1050","TRUE","FALSE","FALSE"
"1060","屋内スペース","1060","TRUE","FALSE","FALSE"
"1070","建物設備","1070","TRUE","FALSE","FALSE"
"1080","近隣景観","1080","TRUE","FALSE","FALSE"
"1990","その他(建物)","1990","TRUE","FALSE","FALSE"
"2010","室内","2010","FALSE","TRUE","FALSE"
"2020","キッチン","2020","FALSE","TRUE","FALSE"
"2030","浴室","2030","FALSE","TRUE","FALSE"
"2040","トイレ","2040","FALSE","TRUE","FALSE"
"2050","バルコニー","2050","FALSE","TRUE","FALSE"
"2060","眺望","2060","FALSE","TRUE","FALSE"
"2990","その他（部屋）","2990","FALSE","TRUE","FALSE"
